user_id,products,reviews
5717215,138,14
11036957,78,2
9302848,123,1
11591233,1458,8
11809346,949,15
11937625,1068,20
14023960,242,2
14189607,266,71
561201,23,2
2343302,330,55
2739568,683,16
4488821,6,1
5443296,317,11
5993658,128,11
6039338,465,1
6662214,118,3
6751552,479,32
6878257,338,1
7254427,167,4
7403077,298,3
7518990,212,6
7643035,2009,98
7701732,329,6
7941328,891,5
8155993,136,1
8481056,625,4
8556188,76,2
8718281,164,1
8773745,2818,25
8868524,163,18
8989581,39,1
9024956,1826,1
9086712,3252,59
9298586,83,1
9324307,245,2
9489450,280,2
9682753,848,17
9724950,621,1
9802110,110,3
9834381,51,1
9937053,172,18
10082896,199,21
10187160,233,1
10253387,357,4
10309592,117,2
10431137,394,3
10581078,291,13
10588979,30,2
10664054,181,2
10802221,169,5
10813830,145,4
10900353,23,2
11070854,86,8
11084333,217,2
11115234,95,1
11169237,374,4
11180141,1011,38
11180876,156,5
11187195,304,10
11222799,231,7
11252439,344,174
11312097,5166,23
11334729,177,1
11389129,111,1
11394879,1166,21
11402779,90,3
11411794,1032,5
11513094,291,10
11527174,200,2
11541196,241,4
11541771,211,9
11553956,1344,8
11662523,670,23
11665854,60,2
11687245,122,1
11707393,298,2
11717339,348,6
11735529,1267,51
11775881,171,10
11788962,717,6
11789718,583,29
11795687,712,22
11852295,124,1
11888212,268,60
11888892,367,2
11904786,134,1
12059288,140,25
12070039,203,2
12104469,198,6
12125610,144,3
12138016,342,2
12144483,206,3
12199923,291,5
12203518,31,1
12227131,72,1
12241234,37,1
12280898,117,4
12307548,165,1
12360133,544,14
12381797,126,2
12448983,516,11
12601518,216,19
12706541,233,5
12722346,113,1
12860061,45,10
13039864,452,1
13187053,205,2
13235533,376,45
13463708,122,10
13545976,223,8
13546697,73,1
13594768,97,6
13679645,493,10
13736088,48,6
13813905,164,1
13826162,218,4
13859775,257,85
13874070,135,8
13914743,151,42
13958820,180,43
13966644,128,16
13988484,175,14
14012516,240,10
14097074,773,7
14205553,84,10
14207414,465,3
14228305,81,6
18975,112,1
29019,300,8
227640,111,1
296048,172,2
316656,369,26
572625,249,12
665845,38,1
781167,76,2
844053,163,5
866766,84,1
873629,219,13
999003,131,5
1052154,35,1
1094696,61,8
1146253,498,16
1159836,35,1
1212072,103,2
1307952,53,2
1441740,100,9
1602166,192,4
1647879,42,1
1870972,2,1
1911870,608,1
2166614,103,3
2244516,57,3
2334747,258,14
2366002,323,52
2541268,117,3
2811947,66,5
3007882,346,8
3045239,25,2
3081430,282,6
3113873,108,2
3215933,517,24
3258204,363,3
3377535,182,5
3506426,139,11
3537590,66,4
3577412,59,1
3587802,80,4
3707217,353,10
3724937,135,5
3864094,99,6
4101670,34,1
4110195,79,16
4145973,24,2
4156043,276,1
4160555,87,4
4166277,42,2
4191997,184,8
4219321,255,22
4297901,54,2
4328542,152,3
4343120,1078,20
4345061,141,1
4346431,6,1
4399461,758,5
4431972,114,3
4445551,197,17
4461607,134,6
4494206,47,1
4730708,260,5
4748899,180,3
4817076,181,6
4863689,182,3
4870795,40,1
4891992,111,1
4911177,282,4
4918071,960,16
4919169,3,1
4991340,172,4
5013166,38,1
5021251,46,1
5087520,51,3
5105645,137,23
5111845,739,127
5130288,179,4
5150482,28,1
5156966,324,1
5169480,15,2
5172260,93,18
5206631,278,39
5207413,116,1
5215978,45,2
5279911,270,2
5341933,197,4
5342174,329,53
5391330,122,4
5395881,243,13
5420669,85,4
5431354,387,10
5457472,171,4
5506982,65,13
5513719,105,1
5522429,101,6
5579232,249,8
5585133,127,3
5599051,200,11
5606557,197,2
5660264,0,1
5701226,157,8
5733901,101,40
5764273,101,14
5843932,140,15
5853636,365,1
5862762,11,1
5885790,58,4
5896842,110,5
5941784,143,6
5983443,275,23
6042984,407,35
6064274,12,1
6113908,29,1
6119272,176,14
6152043,310,8
6177384,78,7
6183185,4,1
6205044,844,7
6215417,16,5
6274895,276,12
6320991,125,6
6415567,67,2
6422994,45,4
6428316,88,8
6439136,90,4
6461015,36,2
6480021,84,1
6490971,189,3
6541491,101,1
6548520,144,2
6602696,200,2
6604643,60,5
6624029,148,13
6636403,142,1
6650889,21,3
6690336,91,9
6705985,23,2
6716952,72,17
6719424,7,3
6736984,6,1
6762893,330,1
6767761,1863,49
6807327,516,57
6827408,38,1
6895498,68,1
6907005,237,1
6917528,59,2
6950513,28,1
6956683,583,65
6988037,260,28
7014845,103,9
7046568,53,2
7066036,49,1
7075959,91,1
7080273,91,4
7087372,46,11
7102719,170,1
7112932,47,8
7124451,59,6
7124797,79,3
7136194,181,4
7256825,225,3
7259741,232,2
7327740,28,6
7340450,61,1
7391861,50,1
7419463,92,2
